K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,UpdatesABmin,UpdatesABmax,SyncAESuccess,SampleSize
4.0,6.0,4.0,269.4801,136.3939,100.0,71.1424,61,818,0.0,10000
4.0,6.0,6.0,643.4001,325.2087,100.0,71.493,156,2015,0.0,10000
4.0,8.0,4.0,322.1517,162.5601,100.0,71.0727,71,1108,0.0,10000
4.0,8.0,6.0,790.4203,398.9695,100.0,71.6731,154,3081,0.0,10000
