K,N,L,ABUpdates,EUpdates,SyncAB,SyncAE,KeyA,KeyB,KeyE
3,2,4,25,4,83,75,c2a2826f50a14a0bfe4dc7700eb7b339d1f7a246dedf7c9d3e00691aa7da883c,29bce1f10a75e76f50c6dcf084b2581f044c8002eeed7cb2aa44e989748dbaf2,c427801d746be76b9a90ad9b5fe17bfd1c4c02320cafa213a88b146b7f2a39fd
3,2,4,54,29,100,79,242724096b1341d0d11d34237811ce539c7f2d27e6cdfaa2e30e9d38a63aca33,242724096b1341d0d11d34237811ce539c7f2d27e6cdfaa2e30e9d38a63aca33,fd5a60c77af4fb5a5a344f02651a237b258956295bce5da6f1e99468e0d5ed00
3,2,4,87803,87236,95,97,9c78006315ed79c2b75566adf251b2e5d76d6008e39138ccf127fdd653a8ea33,389022437eebab6fa111497dcdd3c30ba351201b99a8d01d67edb63c6443c7d7,84340b5c8ce2b42382e93085bdef5e9b6691d9fd7032787be2a715065c377df4
3,2,4,22,13,100,77,6ea33f383e4c0b39656046435f9aa27c43ccb952f0fc6dbf687373d88f2506b1,6ea33f383e4c0b39656046435f9aa27c43ccb952f0fc6dbf687373d88f2506b1,2a52c5bffff2b75d9c4621428ad7564024682823527a3ae0995519e86f1b4357
3,2,4,152,128,91,91,91a279159d30062344e04fab2c9af419b82e3fa7b7bf33c393586d3861561166,c104ecb3cbfdafbd13d6d0ec1962fc1e7f29511ceb217522ceaf9e50ac5adc88,c104ecb3cbfdafbd13d6d0ec1962fc1e7f29511ceb217522ceaf9e50ac5adc88
3,2,4,105,60,100,75,eea62c186aeaa9559ffe301aad31ee489bffda92a7a1805d8da17ec79d34bd54,eea62c186aeaa9559ffe301aad31ee489bffda92a7a1805d8da17ec79d34bd54,38b1fc0a1d6fa14ed2d8b933350ca41e25fd0f15409ddce964f5f6eb719b3da0
3,2,4,55,29,100,77,f09d04066a801e276e6114b875cde5b5e1f072f6d59120e145d6e72e3e08d7e1,f09d04066a801e276e6114b875cde5b5e1f072f6d59120e145d6e72e3e08d7e1,953735f3cbedc862caea8fd30031840d4ebb430b1480cc2269c2e73d351af107
3,2,4,252,166,100,75,2ff7defb46c096de24d70d00c4db75133e77a0941c8e1a90c75c378b77ef4335,2ff7defb46c096de24d70d00c4db75133e77a0941c8e1a90c75c378b77ef4335,61b87db5647014490c7796c5f0c3f7e9130f7c0a643308c782210cad4efc2d03
3,3,2,41,23,100,69,7ae0c8423f5d2b9c28996119b0f5b9247ef9aed257c91e5b4115f5c1335090a8,7ae0c8423f5d2b9c28996119b0f5b9247ef9aed257c91e5b4115f5c1335090a8,7033e21581dc7a77f36bc28e20f42a6fb18736ff9a02714e5fe8d92df1323c7f
3,3,2,30,16,100,77,1b2b7df657a61b0979826559d5677ec3745ba7ea023373926e737256e2675506,1b2b7df657a61b0979826559d5677ec3745ba7ea023373926e737256e2675506,7ecd33031ae318b8069337c62cfcced332a66dbb4dec6657f13ec28978d31453
